architectures,num_params,mapes_nn,uncertanties_mape_nn,mapes_proj,rmses_nn,uncertanties_rmse_nn,rmses_proj,model_training_time
[1],21,262.7617769912591,6105.623758547927,184.3420685449184,0.5144152120099851,0.333408378626241,0.47516478964838005,173.53678703308105
[5],105,224.2971264760093,1979.8484236469828,193.73557781134755,0.36003914612599475,0.16242611615836253,0.3232465000037514,172.53857421875
[10],210,192.14061672457234,1638.8688547620757,200.09469704089483,0.27630448516775646,0.1218422676144205,0.2526551849398143,171.698312997818
[15],315,158.9248588104324,1529.6094594248013,167.25332482999312,0.218150326220512,0.09260437700518906,0.2014096267688653,172.40501499176025
[18],378,122.61777261920852,1465.7674247305729,168.35146055504322,0.19918033688306905,0.07898242793201092,0.1855720952837183,171.9784059524536
[30],630,112.10775096704992,780.7641185597904,123.4936449064409,0.16571507676727568,0.05371606833527132,0.15479589315246056,172.12140274047852
[45],945,123.95847914018343,468.1258901806441,97.05179421017002,0.1468291355579158,0.03963716768802505,0.13710531957267424,172.05368089675903
[59],1239,126.3008538426015,437.7863659506024,87.53108442086669,0.1373135398207586,0.03385301815030808,0.12792718306829196,171.9914870262146
[74],1554,114.8709216144775,354.40461157705687,75.8439409908566,0.12831769200310617,0.030433757914745577,0.11980268321289066,171.96221899986267
[89],1869,98.1330189975921,342.3828241818649,66.65168980914423,0.12029016975537431,0.028009392081265582,0.11207893537147104,172.50597715377808
[103],2163,87.22387498032788,317.0752296520442,61.2247490263011,0.11371124927967703,0.02705498587411859,0.10686517637302899,172.82886123657227
[118],2478,80.76775230622233,343.4505713806526,55.58617652011719,0.1099307526968533,0.025094608855519056,0.10325823607852479,171.94512724876404
[133],2793,71.45421167344679,318.57743469355887,49.37480836966224,0.10414935180776283,0.024470491382634848,0.09805771453146038,194.11341500282288
[147],3087,68.15344181630194,241.54538140219327,46.61756921795824,0.09897569820424391,0.02340114040583612,0.09339232708496775,194.88379192352295
[162],3402,61.700138608956344,304.6432167065247,41.2351116347282,0.09553133670353596,0.0227320170288024,0.0903055110193628,192.36216711997986
[177],3717,58.13823809792572,257.7055479888865,40.92239529173343,0.09209805203861801,0.022191610101057285,0.08721816887831853,189.55369925498962
[191],4011,54.7112171775886,318.0687129678606,36.71140927292915,0.08931081161922383,0.02101798758803482,0.0848394028556887,189.10055875778198
[206],4326,51.6567594989645,233.87786934465154,35.72375114603213,0.08673325361157243,0.0203761430190587,0.08254181084889407,189.19376635551453
[221],4641,43.15202196304462,266.7815489361446,32.85461529927638,0.08431415675519989,0.019648001408770977,0.08019756341300921,192.03985977172852
[235],4935,41.5290520543943,213.91676303608372,34.776947180718345,0.08338052284335447,0.019389567277907582,0.07946619180314606,3818.0733568668365
[250],5250,42.25761880134195,172.0416521261383,32.66048036220578,0.08149842095850567,0.018517994004102735,0.07775032413151431,593.7709410190582
[265],5565,35.471353922348186,220.26634060352617,32.76146107371582,0.07998464255069673,0.018437122087011353,0.07645146829643017,187.20174598693848
[279],5859,35.81411744694271,238.2377480829183,32.698670158885854,0.07910828584985587,0.018076969228192616,0.07555746008740967,187.9570119380951
[294],6174,34.56268518069244,197.35828825197393,32.060492080803186,0.07717571002013565,0.0176142177701502,0.07395926008241327,186.54699301719666
[309],6489,36.29083623148174,210.23060209601107,29.65798247747411,0.07680005583720956,0.017678641586698178,0.0734765675624037,195.79690170288086
[323],6783,28.565764936571096,206.08368503178437,31.228369989722204,0.07536560211249248,0.017127969044194065,0.07211614949750007,191.06908226013184
[338],7098,29.942895785751606,160.68604345786878,31.527072346171707,0.0751973141844355,0.017004379930119162,0.07209990610501532,190.03426790237427
[353],7413,31.174910042083958,186.60727643770502,30.159639379147325,0.07456083313671177,0.016609649269883068,0.07149624399699618,189.46045923233032
[367],7707,28.743597652498554,179.26416176726843,31.70736693185024,0.07419570766965329,0.01645203138007606,0.07110681544547168,192.261559009552
[382],8022,29.432959601197595,143.55532984472498,31.684332771253317,0.07332038693424513,0.016743150342026697,0.07038650520848712,192.72052884101868
[397],8337,26.80260040301828,159.3927438658772,29.96502198415083,0.07215510735076083,0.016135917039993893,0.06920340676365784,191.49269723892212
[411],8631,30.490048790597392,188.8993579205446,31.811308428077613,0.07219368101825636,0.016093306197710485,0.06928592181024915,192.52551198005676
[426],8946,28.36577321048528,170.67705536883878,30.906667045261845,0.07173308020895615,0.016017032464985096,0.06876009531541939,191.17084407806396
[441],9261,26.984028393299454,154.83077847088856,30.302602353197962,0.07118333067588659,0.016138729563320676,0.0682700664611602,191.40402007102966
[455],9555,27.420486861276437,192.65168671253028,28.357473358167002,0.07056722224084112,0.015825131812429317,0.0677960863502546,192.77208280563354
[470],9870,29.2840277477134,149.78698800410237,29.268413801425236,0.07003129498131366,0.015413977495857724,0.06723177570135029,190.855211019516
[485],10185,26.00331005357463,187.30050400401512,29.448049647416084,0.06963163875089928,0.0155591852515694,0.06688899590433536,195.01403164863586
[500],10500,27.659951272294858,177.66218067088954,28.618196623678884,0.06917119663023755,0.015425339987188378,0.06649035457596393,190.0346748828888
