Model,Metric,Output,Error Value,Std Value
NN,RMSE,x1,0.03613050719723106,0.008702156795557985
PINN,RMSE,x1,0.03690508931875229,0.007560364116994182
proj_NN_I,RMSE,x1,0.023395944442701502,0.0030614229032083578
proj_NN_inv_cov,RMSE,x1,0.029319291434361912,0.005128950553124299
proj_PINN_I,RMSE,x1,0.025544814730296773,0.003051876649890778
proj_PINN_inv_cov,RMSE,x1,0.03087390770330163,0.004186828046200353
NN,MAPE,x1,0.5693484438955784,0.7256443738834957
PINN,MAPE,x1,0.5983124968409538,0.7548890166630499
proj_NN_I,MAPE,x1,0.5311553677323883,0.7873692767356678
proj_NN_inv_cov,MAPE,x1,0.7041032852495746,1.1205074278691876
proj_PINN_I,MAPE,x1,0.5730213987994239,0.8576869772913067
proj_PINN_inv_cov,MAPE,x1,0.6969240116327687,1.0504757195645082
NN,RMSE,x2,0.04383853647857904,0.005061205866711683
PINN,RMSE,x2,0.04728134792298078,0.007277691706537736
proj_NN_I,RMSE,x2,0.03627637463426044,0.0051969082142895445
proj_NN_inv_cov,RMSE,x2,0.04159046339793468,0.007248260263267737
proj_PINN_I,RMSE,x2,0.039164890338731315,0.0051922959215181304
proj_PINN_inv_cov,RMSE,x2,0.044396305386720965,0.006543543274222005
NN,MAPE,x2,0.8865909717977047,1.6461555385089137
PINN,MAPE,x2,0.9401805512607098,1.7802497868763243
proj_NN_I,MAPE,x2,0.8617885088646499,1.6019981387894497
proj_NN_inv_cov,MAPE,x2,0.9168430883966129,1.700075832906848
proj_PINN_I,MAPE,x2,0.9348799668531125,1.7661491100890325
proj_PINN_inv_cov,MAPE,x2,1.0199823059510262,1.9099575964295035
NN,RMSE,v1,0.03602734269574284,0.014112103148368152
PINN,RMSE,v1,0.034250516025349495,0.011562753102698633
proj_NN_I,RMSE,v1,0.02009541665859787,0.002326967548744306
proj_NN_inv_cov,RMSE,v1,0.026423326047386623,0.0050045675196316135
proj_PINN_I,RMSE,v1,0.02015613905438326,0.002755558911217425
proj_PINN_inv_cov,RMSE,v1,0.02576513024938308,0.003895464135911262
NN,MAPE,v1,0.5034050639718771,0.7384134496426117
PINN,MAPE,v1,0.5268543609231711,0.8180097136864061
proj_NN_I,MAPE,v1,0.4433629246245358,0.4909022327178401
proj_NN_inv_cov,MAPE,v1,0.6215265107587888,0.8387383273204524
proj_PINN_I,MAPE,v1,0.4469954103783465,0.489725635431597
proj_PINN_inv_cov,MAPE,v1,0.6347997534394768,0.8591998537044138
NN,RMSE,v2,0.03001911098137498,0.008726451203734546
PINN,RMSE,v2,0.03406700894236565,0.010018648611549918
proj_NN_I,RMSE,v2,0.020971458258634744,0.005202514890369014
proj_NN_inv_cov,RMSE,v2,0.03030558246217861,0.007454478272825677
proj_PINN_I,RMSE,v2,0.025043502412891043,0.005360190885864669
proj_PINN_inv_cov,RMSE,v2,0.03322352801163611,0.006436313796425465
NN,MAPE,v2,0.605241552144289,2.2652887485060615
PINN,MAPE,v2,0.6812851794064045,2.242438517605591
proj_NN_I,MAPE,v2,0.6385525030308776,2.6064318130378865
proj_NN_inv_cov,MAPE,v2,0.8077259699815142,2.6438557463474637
proj_PINN_I,MAPE,v2,0.7219965734959064,2.551354735010066
proj_PINN_inv_cov,MAPE,v2,0.8886731822396503,2.702752322400618
NN,RMSE,E,0.3667402054079449,0.22942093563967217
PINN,RMSE,E,0.3660516626951369,0.22294319729080797
proj_NN_I,RMSE,E,4.89253801925216e-06,3.7513539472061675e-06
proj_NN_inv_cov,RMSE,E,4.892530320287913e-06,3.7513426049904936e-06
proj_PINN_I,RMSE,E,4.892527086511351e-06,3.7513539929526107e-06
proj_PINN_inv_cov,RMSE,E,4.892529790696017e-06,3.751341744190939e-06
NN,MAPE,E,0.1650327612602809,0.03223903671849758
PINN,MAPE,E,0.16446529124512055,0.029089401740838024
proj_NN_I,MAPE,E,2.4326241412333733e-06,1.5018943990178746e-06
proj_NN_inv_cov,MAPE,E,2.432615822395373e-06,1.5018797118258651e-06
proj_PINN_I,MAPE,E,2.432612266289883e-06,1.5018873390467887e-06
proj_PINN_inv_cov,MAPE,E,2.4326157337468514e-06,1.5018797098303444e-06
