Model,Variable,Metric,Value
NN,x1,RMSE,0.05457884073257446
NN,v1,RMSE,0.0601017028093338
NN,x2,RMSE,0.055746693164110184
NN,v2,RMSE,0.03432856872677803
NN,E,RMSE,0.8195976926468747
PINN,x1,RMSE,0.053741078823804855
PINN,v1,RMSE,0.05869888514280319
PINN,x2,RMSE,0.056124527007341385
PINN,v2,RMSE,0.03445369005203247
PINN,E,RMSE,0.8075258762320925
proj_nn,x1,RMSE,0.025802514758449187
proj_nn,v1,RMSE,0.015557658729091612
proj_nn,x2,RMSE,0.043154823955267034
proj_nn,v2,RMSE,0.01877711965495011
proj_nn,E,RMSE,1.170587348848782e-07
proj_pinn,x1,RMSE,0.025588227742452337
proj_pinn,v1,RMSE,0.01571997468978834
proj_pinn,x2,RMSE,0.04324571887960187
proj_pinn,v2,RMSE,0.018640589153258152
proj_pinn,E,RMSE,1.171108548631778e-07
RK,E,RMSE,0.006764019151426736
NN,x1,SEM,0.003880455740208031
NN,v1,SEM,0.004534901265984875
NN,x2,SEM,0.002659001135639275
NN,v2,SEM,0.002537122690571711
NN,E,SEM,0.035785666599270495
PINN,x1,SEM,0.0038095204788656176
PINN,v1,SEM,0.004419956462633037
PINN,x2,SEM,0.0026228930102495983
PINN,v2,SEM,0.0025251225137725942
PINN,E,SEM,0.03532771671732757
proj_nn,x1,SEM,0.0013955817554816743
proj_nn,v1,SEM,0.0011307178196903263
proj_nn,x2,SEM,0.0018848275847251602
proj_nn,v2,SEM,0.0013383035604080024
proj_nn,E,SEM,7.10720094074414e-10
proj_pinn,x1,SEM,0.0013662304460544132
proj_pinn,v1,SEM,0.0011377533986357217
proj_pinn,x2,SEM,0.0018243083640192477
proj_pinn,v2,SEM,0.0013020990413581163
proj_pinn,E,SEM,7.097762156910417e-10
RK,E,SEM,0.00026442263601485054
