1,1,1,1
2,2,2,2
3,3,3,3
4,4,4,4
5,5,5,5
6,6,6,6
7,7,7,7
8,8,8,8
10,10,10,10
11,11,11,11
13,13,13,13
16,16,16,16
18,18,18,18
19,19,19,19
22,22,22,22
25,25,25,25
30,30,30,30
35,35,35,35
41,41,41,41
48,48,48,48
56,56,56,56
65,65,65,65
76,76,76,76
89,89,89,89
104,104,104,104
122,122,122,122
143,143,143,143
167,167,167,167
195,195,195,195
227,227,227,227
266,266,266,266
310,310,310,310
363,363,363,363
423,423,423,423
495,495,495,495
578,578,578,578
675,675,675,675
788,788,788,788
920,920,920,920
1075,1075,1075,1075
1255,1255,1255,1255
1466,1466,1466,1466
1712,1712,1712,1712
2000,2000,2000,2000
