architectures,num_params,mapes_nn,uncertanties_mape_nn,mapes_proj,uncertanties_mape_proj,rmses_nn,uncertanties_rmse_nn,rmses_proj,uncertanties_rmse_proj,model_training_time
[1],21,237.33411551919295,1693.3971376983786,217.31992290553387,1688.97141171253,0.25962814348730123,0.013130921384338783,0.23324337911782658,0.01742860074416468,1306.8644630908966
[5],105,88.7809335488538,337.74801564696384,83.70216588184515,338.5172878053721,0.14334554685850312,0.00861489269572036,0.13312025875041933,0.010001021002762766,686.9725260734558
[10],210,62.690402378467404,271.6998280100134,56.94099057867991,262.34486781059945,0.11007577570159086,0.008223179672155197,0.10286443180805861,0.00905973731701638,645.7360858917236
[15],315,54.804138687405555,349.3996847773047,52.3305477892743,348.4219668222144,0.09642494722144052,0.008381066473437367,0.09028519819388436,0.00882602472198919,644.6935980319977
[18],378,54.4063845286086,385.5515035127054,51.57688872256079,384.195943613819,0.09161957238267371,0.008273929609605352,0.08572080606517977,0.008628209807367941,604.019556760788
[30],630,48.290380933584,412.6747093166453,47.2578559809615,412.7403931412488,0.08191257276441957,0.007948973049653748,0.07704630699595488,0.008236101169232908,492.19155192375183
[45],945,47.077597419089145,405.1233340236489,45.567627215085274,404.8257298642935,0.07865919220431247,0.00790286385701239,0.07392776553466632,0.008087920391203549,396.862939119339
[59],1239,44.781312425997335,394.78361720017085,44.19920689523704,395.1879755814156,0.0758618420859508,0.007764442618122882,0.07148882999464308,0.007966484118814407,366.39539790153503
[74],1554,44.45889152256699,395.70026838404146,43.977952727087406,396.00634137740656,0.07376082064848485,0.007759845690811011,0.06978794976132643,0.00797433526075164,323.97972297668457
[89],1869,41.68919864771875,360.229593535888,40.8873297045712,360.45634953215165,0.07277166730694329,0.007750647353704835,0.0687287096813159,0.007928184448669974,294.2141230106354
[103],2163,41.052214216486114,362.9780130189595,40.286372005979985,363.1744427980445,0.0721053883628027,0.007800808097628404,0.06824776797398464,0.007992378213313648,264.35775995254517
[118],2478,40.69543157461118,347.53612787069005,40.03976641348199,347.78736270315545,0.07259873337390663,0.007847068858301463,0.06857551553084247,0.00801278755739202,247.1988878250122
[133],2793,39.39113816646264,319.0132993590062,38.49996805641663,319.2465219688549,0.07174294163392896,0.007821308682662226,0.06786507286587867,0.008006330874178243,248.22568225860596
[147],3087,40.15832365051749,350.1323731750725,39.111566045805084,350.3036740611212,0.07067465621829254,0.00778328667501589,0.06693068752681695,0.007967945831160174,234.7705249786377
[162],3402,39.50435279688174,323.45117835300124,38.58522908813094,323.60095313263344,0.07200538731767545,0.007886099053593004,0.068059225645061,0.00803579820169481,211.78007817268372
[177],3717,39.00332619629304,328.2894015255889,37.94942453911379,328.4057625133184,0.07020127309390345,0.0077900003721272605,0.06639572113302517,0.007934274216884987,212.13749408721924
[191],4011,39.56940409304156,328.60597129004935,38.558681703822636,328.7256275326483,0.07016143912671922,0.007770103789856374,0.06649905576429627,0.007960149979004386,200.53834700584412
[206],4326,37.33700114737577,316.82741567697553,36.28009937682096,316.9528128958139,0.06943790053921109,0.007779512655989936,0.06582889322813675,0.00795124800580744,194.24540328979492
[221],4641,36.51578942379318,304.6237413296517,35.912323793776764,304.8420869454735,0.06876708101523243,0.007727966824886136,0.06510557676810272,0.007872214434863566,188.50893211364746
[235],4935,37.77551296002542,312.7236983415775,36.733496822481534,312.88456731118504,0.06966709156694675,0.007852767538398682,0.06596036227051326,0.00799627832697752,179.64451503753662
[250],5250,37.289041704051776,313.1337999949465,36.13062337632326,313.17555965261425,0.06893740297637944,0.007747748938175182,0.06528820477015491,0.00790118422623069,177.5994257926941
[265],5565,37.45978003745509,315.5883088080622,36.220346118945685,315.65965262827353,0.06898519190132234,0.007795371878877125,0.06542479292593627,0.007968851654325147,170.06538820266724
[279],5859,37.291255651650644,311.0408780991331,36.172159911391276,311.14239836079366,0.07005114603068095,0.00789096242779615,0.06628692917447844,0.008023483698437377,158.83501815795898
[294],6174,36.37969959908475,303.0424227035229,35.43216965709448,303.1788480272201,0.06844252475972391,0.007762616146001609,0.06493636834416519,0.00794051691691925,158.0868878364563
[309],6489,36.9388691937181,318.48012784638007,35.91964568129574,318.6564793029819,0.06870533408814722,0.007756483914222212,0.06505111012053938,0.007904580125948255,155.9789798259735
[323],6783,36.852705554305345,293.50165134552975,35.734218041226775,293.6044873566984,0.06934623636276756,0.007778306791320291,0.06560503104036515,0.00791969220686838,145.5645251274109
[338],7098,36.9961923229538,307.8798523373531,35.82572910043125,307.9004684912002,0.06925476788224284,0.007829457998570823,0.06566719597687405,0.007990285616219762,144.92626404762268
[353],7413,37.19101095817604,304.8194848030986,36.06313579370944,304.89323205530667,0.06880923678685909,0.007784025563405486,0.06524374738544773,0.007942175147392785,143.4868700504303
[367],7707,37.761065760773086,307.155982744585,36.25682968867659,306.9150768997778,0.06981554817707944,0.007856177511997338,0.06609983698960048,0.008003564938421009,137.3183789253235
[382],8022,36.90134555414587,308.34498128989395,35.927591224580524,308.41705871104534,0.06929587092448833,0.007821565478268584,0.06566467663671532,0.007976993520381325,134.4677119255066
[397],8337,35.96731808216621,291.95348328452593,34.93693997052982,292.1115206597815,0.06890754126396158,0.00785324888419679,0.0652392070874853,0.008000027015747589,130.58095383644104
[411],8631,36.61184399644262,301.19109042422906,35.61769798417514,301.353916549351,0.06898755525768474,0.007809745833203554,0.06535960073626437,0.007955983901977742,129.13370299339294
[426],8946,37.31647757241179,306.2306738220265,36.43551365812936,306.3635330067124,0.07009726854138897,0.007834912934668743,0.06629762178598018,0.007966890155490425,123.64305925369263
[441],9261,37.42447253123705,304.7636446604956,36.14787870658335,304.7689201295808,0.070056377697482,0.007867145395781504,0.0662444598692101,0.008003144381730116,119.46086406707764
[455],9555,36.224339049642914,293.72193212719213,35.06496670454213,293.7391644365402,0.0685402364705365,0.007822081954199858,0.0649966148191567,0.00798057224665052,123.64526104927063
[470],9870,36.976167764960685,308.42161841435586,35.89656442333825,308.5050734898697,0.0688405241821786,0.007845791525369142,0.0651489335773058,0.007971490627497958,119.34650015830994
[485],10185,35.95017842754651,287.6392881254908,34.78245334980112,287.65455622800204,0.06893008380990957,0.007838830894170108,0.06526386705476535,0.007979332537848124,117.17082500457764
[500],10500,37.08497919501942,303.6074496114297,35.842435904280535,303.5452718483785,0.06876984025554875,0.007850015363557063,0.06519404858874175,0.00800673163285669,114.88033318519592
