architecture,num_params,output_feature,mapes_nn,mapes_proj,rmses_nn,rmses_proj
[1],21,0,451.03244668550275,368.83711067889516,0.37049128925842106,0.11297613111995068
[1],21,4,75.7494937828044,20.982879641392618,0.21215224869078864,0.08944941715689636
[1],21,16,89.11974095313612,25.441450421262,0.2105913450001484,0.07753805101942696
[5],105,0,74.64441888822388,96.57035976874961,0.06852722614306331,0.05768775422494475
[5],105,4,52.54847812578124,12.686132167509525,0.17876205936399656,0.07035613975392241
[5],105,16,63.36346698004471,18.93794973341068,0.17905946449313503,0.06453884265169592
[10],210,0,79.4155288976335,45.75105941079147,0.044657647634661575,0.03290945157052237
[10],210,4,32.81771065813189,8.064565585322644,0.1358263494763626,0.05916967086940268
[10],210,16,44.209936492919006,13.765348210418974,0.13756820316370127,0.05581519311338801
[15],315,0,29.088626226146186,29.361423363982208,0.029947737335887622,0.02334880966420781
[15],315,4,26.96434094678381,6.7537885430764275,0.12216453525339192,0.05501489970091462
[15],315,16,36.06815731920153,11.468842432070835,0.12054161387070333,0.0521651358831818
[18],378,16,34.69485374539454,10.490000916004176,0.11853357301896567,0.050922257074770334
[18],378,4,24.145952966406043,6.200587816838556,0.11528907243016547,0.053456172539036236
[18],378,0,36.822810396080804,25.467874657712454,0.02979106428361354,0.02186594450047165
[30],630,0,28.980918577316878,28.572367496823208,0.025190931811560586,0.018524700533550247
[30],630,4,21.178630031182642,6.319827245397347,0.10396996950631986,0.04917741788636716
[30],630,16,30.012822695734737,9.351587096168853,0.10309628824755379,0.047040356921334646
[45],945,0,25.495953689478622,14.3252619941804,0.022472984888264238,0.017845946392265652
[45],945,4,21.369681484576287,6.5064797266062175,0.10067811119541448,0.0478633859772023
[45],945,16,28.8449125316099,8.995148327629856,0.10020521176188334,0.04583735647583263
[59],1239,0,13.045342116603337,19.54026923113554,0.021052909368034094,0.016824285098487907
[59],1239,4,21.45886892459736,6.4739762935568015,0.09584932918547726,0.045975534401795755
[59],1239,16,27.475099669763548,8.561581556355764,0.09529073978964177,0.04427863667286009
[74],1554,0,11.219968665015651,18.492444776126803,0.01918961603099712,0.015609939651265182
[74],1554,4,20.256464857669048,6.336095553773004,0.09105334734879275,0.044877892005908505
[74],1554,16,26.18340313566715,8.450272691531248,0.09123561946349658,0.04311349626431603
[89],1869,16,27.135702990783905,8.653737627877353,0.09088998941535906,0.0427039895834412
[89],1869,0,10.732196474372637,12.428852655365725,0.018739353693960372,0.015289786375508721
[89],1869,4,20.41866872989425,6.355327457275896,0.09080210732662773,0.04442706490383879
[103],2163,0,12.93598801036831,13.711932096090345,0.017960534360660838,0.014730332865581282
[103],2163,4,20.072134345740185,6.414502235156393,0.08846678494737828,0.043643748574781406
[103],2163,16,25.997566256832283,8.460144101619681,0.08893579863459597,0.04193230059584482
[118],2478,0,12.317371335528035,14.050101337701996,0.017995615778534264,0.014742420397832308
[118],2478,4,20.34943502985628,6.425477349416937,0.09083637368902726,0.044275928829181625
[118],2478,16,26.48666780049862,8.683669902265907,0.09008545551682355,0.042436336685810906
[133],2793,0,14.4064566699557,13.292124950109931,0.017355773050372978,0.014311257104569593
[133],2793,4,20.163988396565188,6.384267864249568,0.08803965308420147,0.04321234788430367
[133],2793,16,26.916378534516124,8.769007023826617,0.08847047183126787,0.04144762618117662
[147],3087,16,26.900828252657256,8.831534802439988,0.08656723921861181,0.041051353725512434
[147],3087,4,19.900627338996348,6.505739826404801,0.08651450966394432,0.04269142333292165
[147],3087,0,14.223113711998248,10.290210528018598,0.017289730105977577,0.014064116059458197
[162],3402,0,12.651637843136246,13.66965726110946,0.016423197357417454,0.014247279589370125
