lambda_physics_value,loss_train_total,loss_train_total_err,loss_train_data,loss_train_data_err,loss_train_physics,loss_train_physics_err,loss_train_P,loss_train_P_err,loss_train_I,loss_train_I_err,loss_train_ne,loss_train_ne_err,loss_val,loss_val_err,loss_val_physics,loss_val_physics_err,loss_val_P,loss_val_P_err,loss_val_I,loss_val_I_err,loss_val_ne,loss_val_ne_err
[0. 0. 0.],2.98023871763499360e-03,1.07737380034393103e-04,2.98023871763499360e-03,1.07737380034393103e-04,0.00000000000000000e+00,0.00000000000000000e+00,5.85524739836862373e-01,3.61048241664175748e-03,7.20710773507451941e-01,9.59923496851648392e-03,1.30847807968573593e-01,2.88603859919594075e-03,5.03788015525077730e-03,1.68709859455894406e-04,0.00000000000000000e+00,0.00000000000000000e+00,6.24607160399373140e-01,5.88226934760661176e-03,7.95764830336891604e-01,1.78934744529040367e-02,1.15991817301354924e-01,2.47844721766370167e-03
[0.01149425 0.01149425 0.01149425],1.91294249152343214e-02,1.97530258194248982e-04,3.12030861717304837e-03,1.06710971298330895e-04,1.61167131469293068e-02,1.19221474791029683e-04,5.86238023066869007e-01,3.62497318183749740e-03,7.02766239891656763e-01,8.47330440571146017e-03,1.13149780824324003e-01,2.51710455947573098e-03,5.10868265239294243e-03,1.66664024928784855e-04,1.69725214762919893e-02,2.07554208305907881e-04,6.25367094897750109e-01,5.81908924371994998e-03,7.51823219708579904e-01,1.56803086272426020e-02,9.94190538310730093e-02,2.08809894212767496e-03
[0.02298851 0.02298851 0.02298851],3.80982344785088106e-02,3.82221462635477099e-04,3.37369892214550802e-03,9.63893297827303410e-05,3.49572044475457491e-02,3.30183293305510691e-04,5.87540613974390169e-01,2.98889145637752955e-03,8.31520432463980996e-01,1.31038317924056843e-02,1.01577347029868842e-01,2.27189267772733017e-03,5.29935052010217962e-03,1.58974322737646164e-04,3.74930377690772115e-02,6.77078692069219435e-04,6.23332610229538675e-01,6.36822298376285047e-03,9.17568858555157796e-01,2.84693735558814269e-02,9.00456741701620850e-02,1.74183577631410887e-03
[0.03448276 0.03448276 0.03448276],6.11895285344294590e-02,6.89191128096594552e-04,3.64659632057397773e-03,1.01067209718026514e-04,5.79201663159838245e-02,6.57730800388319566e-04,5.88625270173522508e-01,2.89941381311600377e-03,9.97452159708068331e-01,1.75658674118891328e-02,9.36073932819398158e-02,2.09879198020946007e-03,5.52616842151395712e-03,1.72593545600076802e-04,6.46615317810380341e-02,1.28577371340189359e-03,6.22987964491793833e-01,5.90071662990044026e-03,1.16816444803495512e+00,3.70862895066170692e-02,8.40320091233536515e-02,1.55996008613393028e-03
[0.04597701 0.04597701 0.04597701],8.91047717660643640e-02,1.09965854077264595e-03,3.94966249171788304e-03,1.04058318327197025e-04,8.56998903076868768e-02,1.07134165131261795e-03,5.87583334351498010e-01,2.90214757615273522e-03,1.18855443920538173e+00,2.19024894304269760e-02,8.78348406353097189e-02,2.00732922039160728e-03,5.79440480973812330e-03,1.77149722782093434e-04,9.80475474699992744e-02,2.16660931456959379e-03,6.24300580311329179e-01,6.23057877680546247e-03,1.42863755604946041e+00,4.67072224552742277e-02,7.95960211116950450e-02,1.37156150775268504e-03
[0.05747126 0.05747126 0.05747126],1.21586645196883697e-01,1.71411458640614357e-03,4.27443023029685284e-03,9.96730476609078463e-05,1.18049185695948355e-01,1.67940895671535978e-03,5.86015814317072281e-01,3.48847206182883746e-03,1.38412208328925646e+00,2.75338875711697677e-02,8.39179335031719487e-02,1.92926107343891146e-03,6.12386965883020447e-03,1.76212549285131837e-04,1.34933305585307417e-01,3.42720751087211093e-03,6.22437473370244021e-01,7.13645356678833422e-03,1.64896534288397589e+00,5.81886338839625664e-02,7.64367009301285955e-02,1.22728035629704880e-03
[0.06896552 0.06896552 0.06896552],1.56708628748795847e-01,2.15999593493951779e-03,4.51158372553050503e-03,1.04297935825638100e-04,1.53130476138892357e-01,2.11983014997446303e-03,5.85400121745219826e-01,3.63799344084308812e-03,1.55404699277796365e+00,2.88078565039214009e-02,8.09447894907559667e-02,1.87861193387655256e-03,6.32866872252771644e-03,1.80240755716444279e-04,1.75783211741973117e-01,5.01491189964426744e-03,6.20710433566427522e-01,7.19233382714501782e-03,1.85438383320307310e+00,7.10854642090591321e-02,7.37623034891097124e-02,1.15582869919131728e-03
[0.08045977 0.08045977 0.08045977],1.96230358767958607e-01,3.08584420043385389e-03,4.77532943371115036e-03,9.99100165126278779e-05,1.92607695059625994e-01,3.05057362492418445e-03,5.86271801032392181e-01,3.52093659080479973e-03,1.72890775241906214e+00,3.62067421879670934e-02,7.86589422896111223e-02,1.86876994747076997e-03,6.57284975019895457e-03,1.81846580654611924e-04,2.24558085269316893e-01,6.01521986417638457e-03,6.26287668007593834e-01,6.76606540192879833e-03,2.09246552914698025e+00,7.39970879468332537e-02,7.21830054783645647e-02,1.02350922798116447e-03
[0.09195402 0.09195402 0.09195402],2.37077766649139626e-01,4.06472153134036958e-03,4.98738668331988929e-03,1.01207702455716460e-04,2.33466210775011340e-01,4.02744178784027879e-03,5.85124603454161174e-01,3.50567487334510789e-03,1.87699204350391247e+00,4.19464206831591663e-02,7.68283952201749970e-02,1.83220408574217273e-03,6.75868509788477533e-03,1.85358169995397448e-04,2.76451485354419157e-01,7.21911927215699092e-03,6.24916866550125127e-01,6.55216417919591079e-03,2.31077599273115908e+00,7.69933871701676681e-02,7.07170439480244994e-02,9.86647047277994238e-04
[0.10344828 0.10344828 0.10344828],2.80782616733322832e-01,4.79826228828536105e-03,5.28577947368419170e-03,1.28260756320152714e-04,2.77137251579057886e-01,4.74374861085479198e-03,5.85788949242248114e-01,3.57561202194199741e-03,2.01803136065766919e+00,4.36903538790729754e-02,7.51731220309751896e-02,1.79566578888990425e-03,7.06436018813489698e-03,1.88711344086982475e-04,3.27931889253861519e-01,8.72123358459810788e-03,6.29727679013533881e-01,6.70050378695379208e-03,2.47054726702010052e+00,8.41349776703761709e-02,6.97333167536936666e-02,9.95882101581809821e-04
