Model,Metric,Output,Error Value,Std Value
NN,RMSE,x1,0.03603460004553199,0.007858851160139766
PINN,RMSE,x1,0.03576056264340877,0.007881779203988998
proj_NN_I,RMSE,x1,0.024776192534453435,0.002931314015213329
proj_PINN_I,RMSE,x1,0.023793271334365044,0.003113838277548099
NN,RMSE,x2,0.04523962173610926,0.0055229229503458025
PINN,RMSE,x2,0.044843801856040956,0.004964703961106793
proj_NN_I,RMSE,x2,0.03759826147284122,0.005240514688439046
proj_PINN_I,RMSE,x2,0.03684612205927304,0.005324637598448193
NN,RMSE,v1,0.034789528334513306,0.012798429903871618
PINN,RMSE,v1,0.03454950287006795,0.012860165838882614
proj_NN_I,RMSE,v1,0.020660359073016,0.002439229935815807
proj_PINN_I,RMSE,v1,0.019801875849647068,0.00237327598784384
NN,RMSE,v2,0.031432073526084424,0.008837621956893266
PINN,RMSE,v2,0.03056038508191705,0.008728497286715028
proj_NN_I,RMSE,v2,0.022892469207656994,0.005328932439697174
proj_PINN_I,RMSE,v2,0.02108047577549781,0.005389148975130096
NN,RMSE,E,0.35968704503597615,0.2218153303157693
PINN,RMSE,E,0.36074336012799785,0.22104398000127584
proj_NN_I,RMSE,E,1.968412989162359e-05,6.976517900632799e-06
proj_PINN_I,RMSE,E,2.019632863167563e-05,7.056743492498458e-06
