Model,Variable,Metric,Value
NN,x1,RMSE,0.05565521866083145
NN,v1,RMSE,0.06276140362024307
NN,x2,RMSE,0.054356880486011505
NN,v2,RMSE,0.033464252948760986
NN,E,RMSE,0.8343312825803719
PINN,x1,RMSE,0.05452437698841095
PINN,v1,RMSE,0.05676259100437164
PINN,x2,RMSE,0.05856335163116455
PINN,v2,RMSE,0.03791150823235512
PINN,E,RMSE,0.7824332115767411
proj_nn,x1,RMSE,0.025462042663946197
proj_nn,v1,RMSE,0.015854538778724496
proj_nn,x2,RMSE,0.04195632975824009
proj_nn,v2,RMSE,0.017529918025542934
proj_nn,E,RMSE,1.9438375164920542e-05
proj_pinn,x1,RMSE,0.027577011894148226
proj_pinn,v1,RMSE,0.01619171262720079
proj_pinn,x2,RMSE,0.04534923436972115
proj_pinn,v2,RMSE,0.021910724462069892
proj_pinn,E,RMSE,1.896526932969998e-05
RK,E,RMSE,1.9067033528142467e-05
NN,x1,SEM,0.003969636328119782
NN,v1,SEM,0.0047364658384284105
NN,x2,SEM,0.0025553163947458087
NN,v2,SEM,0.002493347189421605
NN,E,SEM,0.0361426685841475
PINN,x1,SEM,0.0038296972950546105
PINN,v1,SEM,0.00428470462705028
PINN,x2,SEM,0.002857222722970832
PINN,v2,SEM,0.0026853384176692184
PINN,E,SEM,0.034089903450225535
proj_nn,x1,SEM,0.0013578511178256034
proj_nn,v1,SEM,0.001148988841606704
proj_nn,x2,SEM,0.0017866637181848733
proj_nn,v2,SEM,0.001259172444483965
proj_nn,E,SEM,1.004690834342924e-06
proj_pinn,x1,SEM,0.0014948619990775046
proj_pinn,v1,SEM,0.0011866016967757567
proj_pinn,x2,SEM,0.001995694246189617
proj_pinn,v2,SEM,0.001482150424282411
proj_pinn,E,SEM,1.0314650305399485e-06
RK,E,SEM,1.0014701561931773e-06
